kalman,wavelet,crash,coupling,churn,was_buggy
1.0,0.41935449156294585,0.0,0.0,0.01078488941084361,0
0.8804981368908086,0.3023991335415949,0.0,0.1846153846153846,0.012981670247291677,0
0.8997706767623899,0.2443136505248561,0.0,0.21153846153846156,0.007859529073802107,0
0.8804981407921872,0.03111000378191568,0.0,0.4,0.009731367635918652,0
4.204331674977715e-08,1.0,0.0,0.1846153846153846,0.010776829815895825,0
0.6826299349940298,0.019846986151424214,0.0,0.0,0.00950303785636392,0
1.985024435959792e-15,0.10153943953854479,0.0,0.0,1.0,0
1.4285578155084629e-21,0.04788235782456831,0.0,1.0,0.012186955939466988,0
1.4611319561892822e-19,0.7650054182475894,0.0,0.0,0.0200613156107899,0
8.499216107890936e-09,0.015385843797658286,0.0,0.9230769230769231,0.002452000925283368,0
1.7081536613422242e-10,0.4394951142568997,0.0,0.1846153846153846,0.011397614943539592,0
0.0,0.020105263319722535,0.0,0.7384615384615384,0.006836048763814514,0
1.8124309299797458e-39,0.06035013443288176,0.021631205673758758,0.5307692307692308,0.014054167102373732,0
0.004770867761826824,0.026485324322329907,0.0,0.5903846153846154,0.006722114617750941,0
1.944864042580594e-13,0.4340446781067054,0.0,0.0,0.008909281702022593,0
1.5622797930150912e-16,0.01324198956437251,0.0,0.5538461538461539,0.006189395502372601,0
0.011149891855310883,0.38763473074605204,0.0,0.0,0.004606130850085929,0
1.870019290491091e-23,0.039028966245633887,0.03083360197721885,0.3961538461538462,0.03137877457272175,0
0.0,0.055269776651743985,0.0,0.3923076923076923,0.00838331515812432,0
5.814843345008018e-09,0.0502779554287401,0.0,0.3923076923076923,0.008318653356821295,0
0.0,0.17950109460323707,0.0,0.21538461538461537,0.006888847514429342,0
0.007937519432209375,0.1922531454469425,0.0,0.17307692307692307,0.0084537253170147,0
1.0808513156806928e-07,0.008166478083337434,0.0,0.41923076923076924,0.0043822448402601084,0
8.3903457019802e-14,0.1610112166084518,0.0,0.2076923076923077,0.012065993597636049,0
8.54980205976158e-09,0.16583853987307523,0.0,0.2,0.011704834605597963,0
1.5382744337960766e-23,0.08994348649579377,0.012499999999999956,0.1980769230769231,0.08457211731619124,0
3.5159003470158455e-17,0.028427183326056475,0.0,0.3692307692307692,0.0149175455975759,1
3.663529502457604e-13,0.10253565147340975,0.0,0.1846153846153846,0.012042642800737035,0
0.0,0.07362684080133566,0.0,0.20384615384615384,0.013522355507088331,0
1.1670084828192354e-55,0.182827950509175,0.033333333333333326,0.0,0.013417801211930432,0
4.692206428088371e-13,0.08760429093693117,0.0,0.1846153846153846,0.009605176684697438,0
5.693204946868774e-65,0.004384178063659172,0.052631578947368474,0.19615384615384615,0.012123933542882803,0
5.868063036209737e-07,0.05785675206467998,0.0,0.1846153846153846,0.01935233778625954,0
8.824866599069687e-12,0.18074328479362425,0.0,0.0,0.006156119182467372,0
6.240363265695674e-15,0.018852695921680523,0.0,0.2,0.006520356234096692,0
0.0,0.012317361145274758,0.0,0.1980769230769231,0.0057251908396946565,0
0.0,0.008484712451419294,0.0,0.2,0.006717557251908396,0
1.6674253538690842e-11,0.0022322526688640723,0.0,0.21153846153846156,0.002544529262086514,0
2.87387950269665e-14,0.011235056820977026,0.0,0.19615384615384615,0.005790997630955514,0
0.0,0.14979922024893,0.0,0.0,0.015685454355327828,0
3.041362036490627e-08,0.15313222561125597,0.0,0.0,0.009461348242124502,0
0.0,0.006012630983421066,0.0,0.2,0.003358778625954198,0
0.0,0.001205293452058838,0.0,0.20576923076923076,0.0034351145038167934,0
3.225730914221433e-13,0.006037228808973287,0.0,0.19615384615384615,0.0053717839977381965,0
3.04136300597607e-08,0.0018386874600285334,0.0,0.2,0.005089058524173028,0
6.763300275226337e-15,0.14330078221085257,0.0,0.0,0.015797285835453777,0
2.781523884060972e-17,0.14060578294878734,0.0,0.0,0.01111261230831588,0
8.518295267792785e-09,0.09820528115314606,0.0,0.0,0.0058500392380680605,0
1.2988838248747763e-11,0.06616200127908693,0.0,0.0,0.003909886427108546,0
